0	Course4
0	Course9
0	Course12
0	Course6
0	Course3
0	Course11
0	Course10
1	Course4
1	Course2
1	Course6
2	Course2
2	Course13
2	Course14
3	Course11
3	Course4
3	Course13
3	Course3
4	Course10
4	Course3
4	Course12
4	Course6
4	Course11
4	Course2
4	Course14
4	Course13
5	Course3
5	Course5
5	Course13
5	Course4
5	Course10
5	Course6
5	Course14
6	Course8
7	Course4
7	Course14
7	Course12
7	Course5
7	Course3
8	Course6
8	Course10
8	Course7
8	Course11
8	Course14
8	Course12
9	Course10
9	Course8
10	Course1
10	Course4
10	Course12
10	Course9
10	Course2
10	Course14
10	Course6
11	Course13
11	Course2
11	Course7
11	Course3
11	Course11
11	Course14
11	Course6
11	Course8
11	Course5
12	Course7
12	Course1
12	Course13
12	Course5
12	Course11
12	Course10
13	Course2
13	Course1
13	Course8
14	Course10
14	Course9
14	Course8
15	Course13
15	Course10
15	Course3
15	Course12
15	Course14
15	Course11
15	Course6
15	Course8
15	Course9
16	Course11
16	Course14
16	Course4
16	Course12
17	Course4
17	Course12
17	Course8
17	Course10
18	Course6
18	Course1
18	Course9
18	Course8
18	Course10
18	Course5
19	Course5
19	Course4
20	Course13
20	Course12
20	Course10
20	Course8
20	Course3
20	Course1
20	Course7
20	Course6
21	Course11
21	Course10
22	Course4
22	Course11
22	Course3
22	Course10
22	Course6
22	Course12
22	Course7
22	Course2
23	Course6
23	Course2
24	Course10
24	Course5
24	Course13
24	Course2
24	Course1
25	Course13
25	Course1
25	Course9
26	Course10
26	Course9
26	Course2
26	Course3
26	Course1
26	Course13
26	Course7
26	Course11
27	Course9
27	Course11
27	Course4
27	Course3
27	Course7
27	Course8
27	Course14
28	Course13
28	Course10
28	Course1
28	Course6
28	Course5
28	Course7
28	Course12
28	Course8
28	Course3
29	Course2
29	Course4
29	Course13
29	Course11
29	Course5
30	Course6
31	Course6
31	Course9
31	Course11
31	Course10
31	Course7
31	Course3
31	Course5
31	Course2
31	Course4
32	Course6
32	Course9
32	Course13
33	Course10
33	Course13
33	Course5
34	Course9
34	Course7
34	Course5
34	Course11
35	Course8
35	Course12
35	Course14
35	Course1
35	Course11
35	Course3
35	Course2
35	Course6
35	Course9
36	Course4
36	Course1
36	Course5
36	Course7
36	Course9
37	Course3
37	Course5
37	Course9
38	Course9
38	Course11
38	Course1
38	Course5
38	Course2
38	Course10
38	Course6
38	Course8
38	Course3
39	Course13
39	Course2
39	Course11
39	Course14
39	Course12
39	Course6
39	Course1
